id,firstName,lastName,age,gender,email,phone,username,birthDate,bloodGroup,height,weight,eyeColor,hairColor,hairType,city,state,country,university,companyName,companyDept,companyTitle,cryptoCoin,cryptoWallet,cryptoNetwork,role,cardExpire,cardNumber,cardType,currency,iban
21,Madison,Collins,26,female,madison.collins@x.dummyjson.com,+81 259-957-5711,madisonc,1998-3-7,B-,189.28,56.96,Red,Gray,Curly,Philadelphia,New Jersey,United States,University of Pennsylvania,Mayer - Smitham,Engineering,Chief Technology Officer,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),user,04/28,5549175461210252,Mir,CNY,Y0WSN5IED255808SIYBUOMWO
22,Elijah,Stewart,33,male,elijah.stewart@x.dummyjson.com,+44 468-357-7872,elijahs,1991-10-22,A-,195.33,81.64,Blue,Purple,Straight,Columbus,Illinois,United States,Georgetown University,Langworth Group,Legal,Business Analyst,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),user,05/27,0798116671286564,JCB,GBP,E1XUHCC1N39WGU6XESSK1CAO
23,Chloe,Morales,39,female,chloe.morales@x.dummyjson.com,+92 468-541-7133,chloem,1985-4-21,O+,185.07,63.97,Brown,Red,Kinky,Dallas,New Jersey,United States,Syracuse University,Grady LLC,Sales,Database Administrator,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),user,05/28,3150496938377346,American Express,PKR,P7YLGOOBWBD1SRWDWSFO3PZ0
24,Mateo,Nguyen,30,male,mateo.nguyen@x.dummyjson.com,+1 341-597-6694,mateon,1994-6-2,O+,174.29,59.98,Red,Purple,Wavy,Columbus,Missouri,United States,Columbia University,Spinka LLC,Accounting,Business Analyst,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),user,03/26,5545852224851851,JCB,TRY,WEBE9SBX588VFUCVCA6KFHWB
25,Harper,Kelly,27,female,harper.kelly@x.dummyjson.com,+92 518-863-2863,harpere,1997-3-3,AB-,184.32,81.69,Amber,Red,Curly,Philadelphia,New York,United States,Boston College,"Leffler, Rolfson and Becker",Legal,Business Development Manager,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),user,04/26,1298153007505587,RuPay,JPY,DJI19LCUNUHP6YSGPY52D5VG
26,Evelyn,Gonzalez,35,female,evelyn.gonzalez@x.dummyjson.com,+61 708-508-4638,evelyng,1989-2-5,O+,168.94,58.47,Red,Black,Wavy,Dallas,Maine,United States,Washington University in St. Louis,"Tromp, Gaylord and Weber",Accounting,Project Manager,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),user,03/28,9584313788145560,RuPay,INR,X4UPULQG61VIGA97USY7AAEB
27,Daniel,Cook,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,1983-12-25,AB+,186.21,83.72,Brown,Blonde,Curly,Los Angeles,Nevada,United States,Columbia University,"Morissette, Baumbach and Auer",Support,Legal Counsel,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),user,01/26,8452555751345228,Korean Express,NZD,A8DBPECO4X6D09WYOVT8UZK8
28,Lily,Lee,29,female,lily.lee@x.dummyjson.com,+1 808-757-9867,lilyb,1995-12-3,AB-,181.42,51.49,Gray,Purple,Straight,Phoenix,Massachusetts,United States,Johns Hopkins University,Cremin Inc,Product Management,Quality Assurance Engineer,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),user,05/29,2903637820228856,Visa,JPY,BKX6ZWB8UJZD09RFOWFPPD3C
29,Henry,Hill,38,male,henry.hill@x.dummyjson.com,+1 240-833-4680,henryh,1986-8-19,O-,180.25,95.84,Gray,Black,Straight,Indianapolis,Delaware,United States,University of Illinois--Urbana-Champaign,"Gerlach, Funk and Schoen",Services,Sales Manager,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),user,02/26,7262597174206766,Diners Club International,SEK,7N3JP8KN9AUNXOWRQGAU2JX6
30,Addison,Wright,32,female,addison.wright@x.dummyjson.com,+1 514-384-3300,addisonw,1992-1-3,B+,179.32,76.93,Brown,Blonde,Straight,San Francisco,Montana,United States,Syracuse University,Kreiger Inc,Services,Human Resources Manager,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),user,05/28,3756638438861539,Carte Bancaire,JPY,OOPQTNZ74OLPKVT7TGB89UQL
